ROW 30  7.2411136956589996D-04  7.1996410273280004D-04  1.5675899186943999D-03  2.1118435143835002D-03  2.7336950561837000D-03  5.8220546260210997D-03  5.1233813026836002D-03  3.6238566124903999D-03  2.5193685922058002D-03  1.7519629356177000D-03  6.5862646724230002D-04  2.2068734031490000D-04
ROW 31  7.5097039144659996D-04  7.2216881104810002D-04  1.5757686190507999D-03  2.0861550149180001D-03  2.6934111396440001D-03  5.7612837282817004D-03  5.0430615361945997D-03  3.5956451955041998D-03  2.5138465212677001D-03  1.7372111352706001D-03  6.6089259525870003D-04  2.2574915588130000D-04
ROW 32  7.7827665671510000D-04  7.2453990523149996D-04  1.5844256944284999D-03  2.0618260776343999D-03  2.6558340858214000D-03  5.6936579084413998D-03  4.9596687466616001D-03  3.5670199301033002D-03  2.5077129454176999D-03  1.7209010940434999D-03  6.6226405752839999D-04  2.3145356184109999D-04
ROW 33  8.0576887233989997D-04  7.2733157474879999D-04  1.5935772711766999D-03  2.0389962661282999D-03  2.6211109232644001D-03  5.6194789472857999D-03  4.8733148495078002D-03  3.5381275902160998D-03  2.5010628322249002D-03  1.7032365937760001D-03  6.6263893912700002D-04  2.3777755491880001D-04
ROW 34  8.3317953399179997D-04  7.3081338529900003D-04  1.6032435301053000D-03  2.0177964165819999D-03  2.5893799102625998D-03  5.5391251366815001D-03  4.7841658489314997D-03  3.5091130313988999D-03  2.4939913017065002D-03  1.6844628760473001D-03  6.6201462175259997D-04  2.4464448560959997D-04
ROW 35  8.6031438159029998D-04  7.3526720313600005D-04  1.6134488512848000D-03  1.9983470085667000D-03  2.5607626353833998D-03  5.4530435561574997D-03  4.6924410577379996D-03  3.4801164923208999D-03  2.4865922878544999D-03  1.6649594011293001D-03  6.6044836885060002D-04  2.5204678395440001D-04
ROW 36  8.8702032755020005D-04  7.4098372382740000D-04  1.6242218127048001D-03  1.9807566155322998D-03  2.5357053711314000D-03  5.3614416910482002D-03  4.5984096086809003D-03  3.4512503494805000D-03  2.4789572721972998D-03  1.6450389461590000D-03  6.5797711677180004D-04  2.6003652562920000D-04
ROW 37  9.1318406406359996D-04  7.4825863328780004D-04  1.6355950369234000D-03  1.9651204600353001D-03  2.5139674166188000D-03  5.2651177499568004D-03  4.5022219688678998D-03  3.4226147257972999D-03  2.4711711984028001D-03  1.6250316905781000D-03  6.5466216563590004D-04  2.6870549515789998D-04
ROW 38  9.3873204771289999D-04  7.5738844192840002D-04  1.6476048831379000D-03  1.9515190968103001D-03  2.4955102928045001D-03  5.1648280966671003D-03  4.4044442996402002D-03  3.3942971433234999D-03  2.4633268235087001D-03  1.6052805362865000D-03  6.5058876026900000D-04  2.7821527672350002D-04
ROW 39  9.6360035414859999D-04  7.6884621782389998D-04  1.6602909855362000D-03  1.9400172444576000D-03  2.4802843209189001D-03  5.0611925897827001D-03  4.3054744543822004D-03  3.3663720990903001D-03  2.4555014759864999D-03  1.5861360695483000D-03  6.4586537286100002D-04  2.8881220655690000D-04
ROW 40  9.8776925907450002D-04  7.8280845339209998D-04  1.6736956423017001D-03  1.9307417544353000D-03  2.4681794382796999D-03  4.9548403215289999D-03  4.2057036946119997D-03  3.3389005185946001D-03  2.4477652072138999D-03  1.5679512803439999D-03  6.4060205138559998D-04  3.0059691669669997D-04
ROW 41  1.0113201665819999D-03  7.9951440385550002D-04  1.6878773433041999D-03  1.9236767109643001D-03  2.4590205403642999D-03  4.8463979027746004D-03  4.1055240708005002D-03  3.3119290636415000D-03  2.4401808387437001D-03  1.5510761630305001D-03  6.3497780166650000D-04  3.1376097049549999D-04
ROW 42  1.0343030810819000D-03  8.1921256808010004D-04  1.7028923099977999D-03  1.9188000115282001D-03  2.4527276569216000D-03  4.7364784966190000D-03  4.0053176248993003D-03  3.2854892965788998D-03  2.4328034599061001D-03  1.5359598397997000D-03  6.2919486046459998D-04  3.2849451820750000D-04
ROW 43  1.0567781034922000D-03  8.4212756046139997D-04  1.7187643810037999D-03  1.9161022623896001D-03  2.4488887830924001D-03  4.6256718762783004D-03  3.9054464498556999D-03  3.2596141789160002D-03  2.4256800730051002D-03  1.5229431113556000D-03  6.2344556727110003D-04  3.4497663287320001D-04
ROW 44  1.0788072028455999D-03  8.6845558823510003D-04  1.7355374686972001D-03  1.9155551522641000D-03  2.4469753999082000D-03  4.5145386888581001D-03  3.8063173073550000D-03  3.2343111077484999D-03  2.4188493854282000D-03  1.5122630235918000D-03  6.1793660998879995D-04  3.6357653666910001D-04
ROW 45  1.1004463219976000D-03  8.9836022650789996D-04  1.7532530558601999D-03  1.9171114908218001D-03  2.4465426362000001D-03  4.4036591290530997D-03  3.7082299304133002D-03  3.2095276402922001D-03  2.4123417453704998D-03  1.5041990503669000D-03  6.1288641729259998D-04  3.8429931265899998D-04
ROW 46  1.1217033882118001D-03  9.3196859587799997D-04  1.7719489687453001D-03  1.9207054544344000D-03  2.4471013438114001D-03  4.2935142327156003D-03  3.6114064288056001D-03  3.1852209666630000D-03  2.4061792153536000D-03  1.4990022283950001D-03  6.0852228265149998D-04  4.0717302755499999D-04
ROW 47  1.1426342354904999D-03  9.6936804444229996D-04  1.7916581306813000D-03  1.9262530338371000D-03  2.4481308320410998D-03  4.1845147908313998D-03  3.5160487546676000D-03  3.1613285837153002D-03  2.4003757753476001D-03  1.4968917721713000D-03  6.0513753807059996D-04  4.3224751122269999D-04
ROW 48  1.1632363269971000D-03  1.0107235814411000D-03  1.8124073246212000D-03  1.9336526755432001D-03  2.4490744237093999D-03  4.0770186062283999D-03  3.4223148050932998D-03  3.1377680966796001D-03  2.3949376451080999D-03  1.4980523164167001D-03  6.0301028235299999D-04  4.5953409274839999D-04
